S.No.,Province,Name of Town
1,Central Province,Abasingammedda
2,Central Province,Adhikarigama
3,Central Province,Agalakumbura
4,Central Province,Agalawatta
5,Central Province,Agappola
6,Central Province,Agrapatana
7,Central Province,Agrapatna
8,Central Province,Akarahaduwa
9,Central Province,Akkarawatta
10,Central Province,Akuramboda
11,Central Province,Akurambodwatta
12,Central Province,Akurana
13,Central Province,Aladeniya
14,Central Province,Alagalla Kondagama
15,Central Province,Alagalla Pahalagama
16,Central Province,Alagoda
17,Central Province,Alakagama
18,Central Province,Alakola-anga
19,Central Province,Alakola-ela
20,Central Province,Alakoladeniya
21,Central Province,Alakolamada
22,Central Province,Alakolamaditta
23,Central Province,Alakolawewa
24,Central Province,Alanduwaka
25,Central Province,Alapalawala
26,Central Province,Alapalawela
27,Central Province,Alawattegama
28,Central Province,Alawattegama
29,Central Province,Alawatugama
30,Central Province,Alawatugoda
31,Central Province,Alayaya
32,Central Province,Alhentennawatta
33,Central Province,Alkemada
34,Central Province,Alubendiyaya
35,Central Province,Aludeniya
36,Central Province,Alugolla (7°5'N 80°28'E)
37,Central Province,Alugolla (7°9'N 80°31'E)
38,Central Province,Alugolla (7°40'N 80°37'E)
39,Central Province,Alupotawela
40,Central Province,Alutgama (7°19'N 80°31'E)
41,Central Province,Alutgama (7°31'N 80°35'E)
42,Central Province,Alutgama (7°42'N 80°35'E)
43,Central Province,Alutgama (7°22'N 80°39'E)
44,Central Province,Alutgama Mahakumburegammedda
45,Central Province,Alutnuwara
46,Central Province,Alutnuwara Town
47,Central Province,Alutwewa
48,Central Province,Aluvihare
49,Central Province,Aluvihare Colony
50,Central Province,Aluwihare
51,Central Province,Alwatta
52,Central Province,Ambadeniya
53,Central Province,Ambagahahena
54,Central Province,Ambagamuwa (7°1'N 80°28'E)
55,Central Province,Ambagamuwa (7°18'N 80°33'E)
56,Central Province,Ambagaspitiya
57,Central Province,Ambagastenna
58,Central Province,Ambakumbura
59,Central Province,Ambalapitiya
60,Central Province,Ambale
61,Central Province,Ambaliyadda (7°10'N 80°46'E)
62,Central Province,Ambaliyadda (7°1'N 80°54'E)
63,Central Province,Ambanella
64,Central Province,Ambanpola
65,Central Province,Ambanwala (7°13'N 80°31'E)
66,Central Province,Ambanwala (7°13'N 80°31'E)
67,Central Province,Ambaoruwa
68,Central Province,Ambatalawa (6°58'N 80°30'E)
69,Central Province,Ambatalawa (7°2'N 80°40'E)
70,Central Province,Ambatenna
71,Central Province,Ambawa
72,Central Province,Ambawela
73,Central Province,Ambetenna
74,Central Province,Ambewela
75,Central Province,Ambokka
76,Central Province,Ampitigoda
77,Central Province,Ampitiya (7°5'N 80°31'E)
78,Central Province,Ampitiya (7°16'N 80°39'E)
79,Central Province,Ampitiya Pallegama
80,Central Province,Ampitiya Udagama
81,Central Province,Amuna
82,Central Province,Amunewala
83,Central Province,Amunugama
84,Central Province,Amunumulla
85,Central Province,Amunupitiya
86,Central Province,Amunupura
87,Central Province,Amunupure
88,Central Province,Amupitiya
89,Central Province,Andagala (7°22'N 80°30'E)
90,Central Province,Andagala (7°46'N 80°31'E)
91,Central Province,Andawala
92,Central Province,Andawela
93,Central Province,Andideniya
94,Central Province,Andungama Palkumbura
95,Central Province,Andurubebila
96,Central Province,Angammana
97,Central Province,Angoda
98,Central Province,Angunawala
99,Central Province,Angunawela
100,Central Province,Anguruwela
101,Central Province,Anguruwella
102,Central Province,Ankande Colony
103,Central Province,Ankendagolla
104,Central Province,Ankumbura
105,Central Province,Ankumbura Pallegama
106,Central Province,Ankumbura Udagama
107,Central Province,Appallagoda
108,Central Province,Arambagama
109,Central Province,Arambegama (7°16'N 80°32'E)
110,Central Province,Arambegama (7°20'N 80°34'E)
111,Central Province,Arambepola
112,Central Province,Aranpitiya
113,Central Province,Arattana (7°13'N 80°34'E)
114,Central Province,Arattana (7°22'N 80°43'E)
115,Central Province,Arawwawala
116,Central Province,Arukwatta
117,Central Province,Aruppola
118,Central Province,Asgeriya
119,Central Province,Asgiriya
120,Central Province,Aswalapitiya
121,Central Province,Asweddunwela
122,Central Province,Atabage
123,Central Province,Atabage Pallegama
124,Central Province,Atirahapitiya
125,Central Province,Attanakumbura
126,Central Province,Attanayakagammedda
127,Central Province,Attaragalla
128,Central Province,Attaragama
129,Central Province,Attaragama Hunnana-oya
130,Central Province,Attaragama Hunnanoya
131,Central Province,Awulbodale 
132,Central Province,Badalagama
133,Central Province,Badalgammedda
134,Central Province,Baddamulla
135,Central Province,Bahiragaldowa
136,Central Province,Bahirawakanda
137,Central Province,Balagahatenna
138,Central Province,Balagolla
139,Central Province,Balana
140,Central Province,Balawatgoda
141,Central Province,Bambarabedda
142,Central Province,Bambarabedde Devainnegama
143,Central Province,Bambaradeniya
144,Central Province,Bambaragahawatta
145,Central Province,Bambaragaleyaya
146,Central Province,Bambaragama
147,Central Province,Bambaragaswewa
148,Central Province,Bambawa
149,Central Province,Bamunupola
150,Central Province,Bananga
151,Central Province,Banange
152,Central Province,Barandare
153,Central Province,Barigama
154,Central Province,Batadanduwela
155,Central Province,Batagalla (7°22'N 80°34'E)
156,Central Province,Batagalla (7°15'N 80°40'E)
157,Central Province,Balagolla
158,Central Province,Batagolla
159,Central Province,Batalawatta
160,Central Province,Batugoda
161,Central Province,Batumulla
162,Central Province,Bebalagama
163,Central Province,Beddegama
164,Central Province,Beligamuwa
165,Central Province,Beliyakanda
166,Central Province,Bembiya
167,Central Province,Beragama
168,Central Province,Beravilla
169,Central Province,Berawila
170,Central Province,Bibila
171,Central Province,Bobella
172,Central Province,Bodikotuwa
173,Central Province,Bogahapitiya
174,Central Province,Bogambara
175,Central Province,Bogamuwa
176,Central Province,Bogawantalawa
177,Central Province,Bogawela
178,Central Province,Bokalawela
179,Central Province,Bokkawala
180,Central Province,Bolagandawela
181,Central Province,Bolepe
182,Central Province,Bombure
183,Central Province,Bomure
184,Central Province,Bopana
185,Central Province,Bopegammedda
186,Central Province,Bopitiya
187,Central Province,Boragahamaditta
188,Central Province,Boruwagama
189,Central Province,Botota
190,Central Province,Bowala (7°10'N 80°34'E)
191,Central Province,Bowala (7°16'N 80°37'E)
192,Central Province,Bowala (7°9'N 80°43'E)
193,Central Province,Bowatta
194,Central Province,Bowatura
195,Central Province,Boyagama
196,Central Province,Brookside
197,Central Province,Bulanawewa
198,Central Province,Bulatwelkandura
199,Central Province,Bulugahapitiya
200,Central Province,Bulugolla
201,Central Province,Bulukohotenna
202,Central Province,Bulumulla
203,Central Province,Butalanda
204,Central Province,Butawatta
205,Central Province,Buwelikada (7°13'N 80°34'E)
206,Central Province,Buwelikada (7°17'N 80°39'E)
207,Central Province,Campion
208,Central Province,Clodagh Eastern Colony
209,Central Province,Dadahogama
210,Central Province,Dadohagama
211,Central Province,Dagampitiya
212,Central Province,Dagewilla
213,Central Province,Dalupota
214,Central Province,Daluwela
215,Central Province,Damana
216,Central Province,Dambagahamada
217,Central Province,Dambagahamuduna
218,Central Province,Dambagolla
219,Central Province,Dambagolla
220,Central Province,Dambalagala Colony
221,Central Province,Dambarawa
222,Central Province,Dambarawa
223,Central Province,Dambe
224,Central Province,Dambul
225,Central Province,Dambulla
226,Central Province,Dambullagama
227,Central Province,Damunumeya
228,Central Province,Damunumulla
229,Central Province,Damunupola
230,Central Province,Damunupola North
231,Central Province,Dandenikumbura
232,Central Province,Dankanda
233,Central Province,Danture
234,Central Province,Dara-oya
235,Central Province,Daskara
236,Central Province,Daulagala
237,Central Province,Dawatagahamulatenna
238,Central Province,Dedunupitiya
239,Central Province,Dehianga
240,Central Province,Dehiange
241,Central Province,Dehiattawala
242,Central Province,Dehideniya
243,Central Province,Dehideniya Madige
244,Central Province,Dehigahatule
245,Central Province,Dehigama
246,Central Province,Dehigastenna
247,Central Province,Dehintalawa
248,Central Province,Dehipagoda
249,Central Province,Dehipe
250,Central Province,Dehipitiya
251,Central Province,Deiannewela
252,Central Province,Deiyannewela
253,Central Province,Dekinda
254,Central Province,Deldeniya
255,Central Province,Delgasyaya
256,Central Province,Deliwela
257,Central Province,Delmada
258,Central Province,Delpatkada
259,Central Province,Delpawana
260,Central Province,Delpitiya
261,Central Province,Deltota
262,Central Province,Demada-oya
263,Central Province,Dembatagastenna
264,Central Province,Dembawa
265,Central Province,Demodara
266,Central Province,Demunapola North
267,Central Province,Denapitiya
268,Central Province,Denike
269,Central Province,Devahandiya West
270,Central Province,Devahuwa
271,Central Province,Devinnegama
272,Central Province,Devita
273,Central Province,Devon
274,Central Province,Dewahandiya
275,Central Province,Dewahandiya East
276,Central Province,Dewahandiya West
277,Central Province,Dewatagahamulatenna
278,Central Province,Dibburuwela
279,Central Province,Dickoya
280,Central Province,Diddeniya
281,Central Province,Digahawatura
282,Central Province,Digala
283,Central Province,Digana
284,Central Province,Digane
285,Central Province,Diggala
286,Central Province,Dihintalawa
287,Central Province,Dikirillagolla
288,Central Province,Dikkumbura
289,Central Province,Dikoya
290,Central Province,Dimbula
291,Central Province,Dimbulgahakotuwa
292,Central Province,Dimbulgoda
293,Central Province,Dimbulkumbura
294,Central Province,Dippitiya
295,Central Province,Divulgaskotuwa
296,Central Province,Diyabubula
297,Central Province,Diyapalagoda
298,Central Province,Dodamitiyawa
299,Central Province,Dodandeniya
300,Central Province,Dodandeniya
301,Central Province,Dodangolla
302,Central Province,Dodankumbura
303,Central Province,Dodankumbura
304,Central Province,Dodanwala
305,Central Province,Dolapihilla
306,Central Province,Dolosbage
307,Central Province,Dolosbage Bazaar
308,Central Province,Doluwa
309,Central Province,Dombagammana
310,Central Province,Dombagasdeniya
311,Central Province,Dombagoda
312,Central Province,Dombawala
313,Central Province,Dombawela
314,Central Province,Doragomuwa
315,Central Province,Dorakumbura
316,Central Province,Doraliyadda
317,Central Province,Doraliyadda
318,Central Province,Doranegama
319,Central Province,Dowita
320,Central Province,Dowitagammedda
321,Central Province,Dullewa
322,Central Province,Dulmure
